HANDLE,LABEL,REASON
_AliAltintas_,false,"bioinformatician - no mention of qualitative trials"
_aliciameyer,false,"books curator - doesn't seem researcher"
_allisonmorehea,false,"medical humanities scholar - no mention of research methods with humans"
_arbit,false,"data scientist - not a qualitative researcher"
_arvind,false,"ux and account seems dormant"
0xalevator,null,"researcher at Yale but methods unclear from bio"
0xAnonTank,false,"ux in web3"
0xArsya,false,"content creator in web3"
0xBackEndDev,false,"only shows nft interest"
0xBalloonLover,false,"venture anthropologist in corporate context"
0xBlackfish,false,"data scientist in web3"
0xcaas,null,"public health - bio shows potential but no mention of methods"
0xCircusLover,false,"startup anthropologist in corporate context"
0xdarkie,false,"data scientist and advisor trader"
0xFrankBaum,false,"data scientist in web3"
0xFreeLunch,false,"tech entrepreneur"
0xhaisenberg,false,"data scientist in web3"
0xMVU,false,"data scientists and materials research engineer"
0xsloane,false,"investor and product data scientist - not qualitative researcher"
0xSokol,false,"market analyst in crypto"
0xVanley,false,"web3 researcher"
13thcatsmeow,null,"sociology MA - postcolonial studies - bio promising but no clear signal of methods"
1776Authority,false,"emeritus law professor - legal scholarship - not qualitative research"
1800Oncologist,false,"medical professional - service account - not individual researcher"
18ScienceCaucus,false,"organization account"
1MaxVayne,false,"self published author"
1minute40media,false,"video production agency account"
1MinXtremeComm,false,"gaming league account"
1strichestwoman,false,"ux researcher in business/network context"
2_benfield,false,"emeritus virologist - lab/veterinary science"
20b_sai,false,"builder/startup focus - no strong research indicators"
21st_Psychiatry,null,"psychiatrist but unclear if qualitative research - language barrier obfuscates"
2HighCoverage,false,"data scientist - no qualitative methods mention"
305Rafi,false,"filmmaker assistant professor - media studies"
314UXHolly,false,"ux research - writer"
324_B21,null,"bioethicist - may conduct qualitative research but unclear"
3DiMMUNE,false,"biotech immunologist and entrepreneur"
3DRimmaMZ,true,"clinical research - patient safety - some signals of qualitative methods"
3rdWavePsych,null,"clinical psychologist - unclear if does academic qualitative research"
3rdyeartutor,false,"healthcare lecturer - content for radiographers"
4ChemEvolution,false,"organization account - chemical evolution"
4chProject,false,"project account"
4lexzee,false,"product/ux designer"
50MajorEconmsts,false,"book/content account"
510nm,false,"scientist but unsuficcient context"
666SpookyScary,false,"fan account"
79ka2011,null,"endocrinologist - clinical researcher - unclear if qualitative methods"
7inSatanic,false,"parody account"
8Joan_O,false,"fundraising research"
903124S,false,"data scientist"
9LdROhjZE56jSh9,false,"ai/computation researcher"
a_blasimme,null,"unclear if conducts qualitative research"
a_konstorum,false,"applied mathematician - data scientist"
